Site,DissolvedOxygen,WaterTemp,Volume,UnitLength,MaxDepth,Tributary,PoolStudyDate,SampleNumber,AvgWidth,AvgDepth,RiffleCrestThalweg,RiffleLength,PoolTailCrest,Canopy,AlgaeColor,AlgaeCover,RiffleAvgWidth,RiffleAvgDepth,Discharge_cfs,Connected,PoolArea,RiffleArea,Year,CohoYOY_Pass1,CohoParr_Pass1,SteelheadYOY_Pass1,SteelheadParr_Pass1,Date_Pass1,CohoYOY_Pass2,CohoParr_Pass2,SteelheadYOY_Pass2,SteelheadParr_Pass2,Date_Pass2,Observers_Pass1,Observers_Pass2,Average_DO,Average_Temperature,Min_DO,Max_DO,Max_Temperature,ReachType,CohoYOY_MAX,SteelheadYOY_MAX,SteelheadParr_MAX
PS-GRE-P3,5.9,17.4,8.922127,14.26464,64.6176,Green Valley Creek,7/10/2017,3,2.97942,20.9931,4.572,5.76072,5.4864,NA,B,2,1.17856,NA,0.198665236,BOTH,42.500335,6.78935,2017,10,0,6,0,42926,18,0,10,0,7/12/2017,ER,TC,5.7359375,17.335625,5.46,6.18,18.32,clay,18,10,0
PS-GRE-P1,7.32,16.7,11.414825,28.59024,59.1312,Green Valley Creek,7/10/2017,3,2.50698,15.9258,4.572,9.4488,8.5344,NA,B,2,1.53416,NA,0.335141891,BOTH,71.675129,14.495964,2017,46,0,54,0,42926,36,0,26,0,7/12/2017,CO,TC,7.446041667,17.795,7.09,7.8,19.24,bedrock,46,54,0
PS-GRE-P2,7.22,16.9,16.132753,16.48968,63.0936,Green Valley Creek,7/10/2017,3,4.55295,21.4884,6.7056,3.84048,3.9624,NA,B,4,2.51968,NA,0.164877815,BOTH,75.076656,9.676776,2017,56,0,32,0,42926,44,0,40,0,7/12/2017,CO,TC,6.832604167,17.499375,5.64,8.24,19.42,alluvial,56,40,0
PS-GRE-P4,7.42,17.9,12.987984,22.79904,51.816,Green Valley Creek,7/10/2017,3,3.675017,15.501244,7.9248,3.53568,3.6576,NA,B,2,1.65608,NA,0.155936788,BOTH,83.786821,5.855366,2017,38,0,6,0,42926,58,0,12,0,7/12/2017,ER,TC,7.095,17.509375,6.26,7.63,19.08,clay,58,12,0
PS-DUT-P1,7.02,15.4,38.659749,40.72128,96.9264,Dutch Bill Creek,7/11/2017,3,3.53949,26.8224,7.0104,8.16864,6.4008,NA,B,2,1.25984,NA,0.51954271,BOTH,144.132501,10.291174,2017,1,0,2,0,42927,0,0,8,0,7/12/2017,ER,TC,8.211041667,16.204375,6.86,9.68,17.56,alluvial,1,8,0
PS-DUT-P2,4.47,16.7,17.896995,25.87752,54.864,Dutch Bill Creek,7/11/2017,3,3.2766,21.1074,7.3152,12.954,7.0104,NA,B,3,2.07264,NA,0.304921907,BOTH,84.790246,26.848967,2017,0,0,2,0,42927,0,0,3,0,7/12/2017,ER,TC,4.588645833,16.7775,4.16,4.98,17.72,alluvial,0,3,0
PS-DUT-P3,8.21,18.2,21.211209,24.44496,49.9872,Dutch Bill Creek,7/11/2017,3,4.8768,17.7927,15.5448,14.9352,15.5448,NA,B,2,2.286,NA,NA,BOTH,119.21313,34.141853,2017,78,0,34,0,42927,64,0,20,0,7/12/2017,CO,TC,7.525208333,17.225,6.77,8.33,18.22,alluvial,78,34,0
PS-DUT-P4,9.19,17.6,44.023933,37.4904,95.0976,Dutch Bill Creek,7/11/2017,3,5.12826,22.8981,12.192,7.0104,8.8392,NA,B,2,2.4892,NA,0.228453804,BOTH,192.260436,17.450279,2017,132,0,12,2,42927,144,0,24,0,7/12/2017,CO,TC,8.6646875,17.03625,6.71,9.78,18.1,bedrock,144,24,2
PS-MIL-P1,8.61,17.2,29.289819,41.69664,59.7408,Mill Creek,7/13/2017,3,3.01752,23.2791,12.192,3.5052,9.4488,NA,B,4,1.8288,NA,1.611718888,BOTH,125.820391,6.410307,2017,0,0,57,6,42928,2,0,40,4,7/13/2017,TC,ER,8.239895833,18.49291667,7.38,9.59,20.04,alluvial,2,57,6
PS-MIL-P2,8.2,17.3,20.755018,19.2024,66.1416,Mill Creek,7/13/2017,3,4.09956,26.3652,6.7056,9.50976,8.5344,NA,B,2,3.06832,NA,1.617442177,BOTH,78.721357,29.178972,2017,4,0,34,4,42928,6,0,39,0,7/13/2017,TC,ER,7.953958333,18.33,7.4,8.68,20.26,alluvial,6,39,4
PS-MIL-P3,9.45,18.6,55.494932,33.8328,80.4672,Mill Creek,7/13/2017,3,5.39496,30.4038,18.288,5.76072,10.3632,NA,B,1,1.95072,NA,2.469401826,BOTH,182.526524,11.237547,2017,166,0,44,0,42928,176,0,34,0,7/13/2017,TC,ER,8.9165625,18.29083333,8.13,9.54,20.66,bedrock,176,44,0
PS-MIL-P4,9.11,18.5,33.197603,19.56816,89.0016,Mill Creek,7/13/2017,3,4.23672,40.0431,14.6304,12.86256,7.3152,NA,B,2,4.18592,NA,0.966772253,BOTH,82.904779,53.841623,2017,138,0,33,0,42928,150,0,16,2,7/13/2017,TC,ER,9.0221875,17.35375,8.63,9.69,18.48,bedrock,150,33,2
PS-GRE-P1,7.14,18.1,11.963228,28.59024,56.0832,Green Valley Creek,7/24/2017,4,2.44602,17.1069,3.3528,9.4488,6.096,NA,B,2,1.39192,NA,0.166720963,BOTH,69.932269,13.151966,2017,44,0,36,0,42940,36,0,30,0,7/26/2017,SB,TC,7.045833333,17.430625,6.3,7.55,18.68,bedrock,44,36,0
PS-GRE-P2,7.82,18.6,15.179216,16.48968,61.5696,Green Valley Creek,7/24/2017,4,4.54152,20.2692,5.7912,3.84048,3.9624,NA,B,2,1.91008,NA,0.080604544,BOTH,74.888179,7.33562,2017,30,0,70,0,42940,42,0,30,0,7/26/2017,SB,TC,6.662708333,17.18125,5.38,8.26,19.42,alluvial,42,70,0
PS-GRE-P4,5.78,16.5,14.015085,22.79904,53.9496,Green Valley Creek,7/24/2017,4,3.592286,17.112325,5.4864,3.53568,4.8768,NA,B,2,1.24968,NA,0.063946418,BOTH,81.900628,4.418467,2017,60,0,15,0,42940,48,0,12,2,7/26/2017,ER,TC,6.908854167,16.95375,5.78,8.27,17.82,clay,60,15,2
PS-GRE-P3,4.73,16.6,8.204559,14.26464,63.7032,Green Valley Creek,7/24/2017,4,2.82702,20.3454,3.3528,5.76072,4.2672,NA,B,2,1.08712,NA,0.059968976,BOTH,40.326405,6.26259,2017,22,0,10,0,42940,16,0,22,0,7/26/2017,ER,TC,4.874791667,16.96770833,3.84,5.99,17.62,clay,22,22,0
PS-DUT-P1,5.27,16,21.848068,38.37432,85.9536,Dutch Bill Creek,7/25/2017,4,2.99466,19.0119,4.572,8.16864,0,NA,NA,1,0.98552,NA,0.110263359,UP ONLY,114.917992,8.050354,2017,0,0,2,0,42941,0,0,2,0,7/26/2017,ER,TC,5.5615625,16.16958333,5,6.68,16.6,alluvial,0,2,0
PS-DUT-P2,2.66,16.6,17.763755,25.87752,53.9496,Dutch Bill Creek,7/25/2017,4,3.23469,21.2217,0,10.9728,4.2672,NA,M,2,1.05664,NA,NA,DOWN ONLY,83.705719,11.594292,2017,0,0,2,1,42941,0,0,2,0,7/26/2017,ER,TC,1.863541667,16.73854167,1.41,2.36,17.66,alluvial,0,2,1
PS-DUT-P3,7.57,17.6,20.062079,24.44496,48.768,Dutch Bill Creek,7/25/2017,4,4.80822,17.0688,15.5448,14.9352,14.9352,NA,B,2,1.9812,NA,0.481097986,BOTH,117.536695,29.589606,2017,62,0,10,0,42941,66,0,12,0,7/26/2017,ER,TC,6.988958333,16.814375,5.91,7.59,17.82,alluvial,66,12,0
PS-DUT-P4,9.26,17,45.895484,37.4904,95.7072,Dutch Bill Creek,7/25/2017,4,5.05206,24.2316,9.144,7.0104,8.2296,NA,B,2,2.91592,NA,0.053751788,BOTH,189.403669,20.441755,2017,147,0,24,3,42941,150,0,21,3,7/26/2017,ER,TC,8.769375,16.27875,8.35,9.82,17.14,bedrock,150,24,3
PS-MIL-P2,7.14,17.3,19.677843,19.2024,64.008,Mill Creek,7/27/2017,4,4.06908,25.1841,6.096,9.50976,6.7056,NA,NA,1,3.00736,NA,0.811428106,BOTH,78.136068,28.599258,2017,0,0,20,0,42942,2,0,12,0,7/27/2017,TC,CO,6.96625,18.471875,6.53,7.46,20.34,alluvial,2,20,0
PS-MIL-P3,9.55,19.7,54.193074,33.8328,79.8576,Mill Creek,7/27/2017,4,5.28828,30.2895,14.3256,3.16992,9.144,NA,B,2,1.70688,NA,1.489434916,BOTH,178.917243,5.410671,2017,166,0,32,0,42942,188,0,46,0,7/27/2017,TC,CO,8.882604167,18.635625,8.12,9.67,21.08,bedrock,188,46,0
PS-MIL-P4,9.39,17.6,33.03166,19.56816,97.536,Mill Creek,7/27/2017,4,4.30149,39.243,12.4968,12.86256,8.2296,NA,B,2,3.76936,NA,0.759754342,BOTH,84.172208,48.483596,2017,138,0,12,3,42942,171,0,24,3,7/27/2017,TC,CO,8.7659375,17.40208333,8.31,9.41,18.64,bedrock,171,24,3
PS-MIL-P1,8.08,17.5,27.96034,41.69664,57.912,Mill Creek,7/27/2017,4,2.96799,22.5933,10.0584,3.5052,6.096,NA,B,2,1.47828,NA,0.922823129,BOTH,123.755157,5.181665,2017,0,0,84,0,42942,0,0,36,2,7/27/2017,TC,CO,7.72125,18.72458333,6.64,9.86,20.32,alluvial,0,84,2
PS-GRE-P2,7.58,16.6,14.698499,16.48968,61.2648,Green Valley Creek,8/7/2017,5,4.56057,19.5453,4.8768,3.84048,2.7432,NA,B,2,1.9304,NA,0.118202808,BOTH,75.202308,7.413659,2017,28,0,24,0,42954,52,0,22,0,8/9/2017,MT,TC,7.3228125,17.25166667,6.76,8.79,19.24,alluvial,52,24,0
PS-GRE-P3,4.19,17,7.802373,14.26464,65.2272,Green Valley Creek,8/7/2017,5,2.72415,20.0787,2.4384,5.76072,4.572,NA,B,2,1.0668,NA,0.047946557,BOTH,38.859002,6.145533,2017,14,0,12,0,42954,20,0,14,0,8/9/2017,MT,TC,4.355833333,16.81520833,3.3,5.24,17.52,clay,20,14,0
PS-GRE-P4,6.06,17.2,13.828216,22.79904,49.9872,Green Valley Creek,8/7/2017,5,3.544388,17.112325,5.7912,3.53568,4.572,NA,NA,1,1.35128,NA,0.025929786,BOTH,80.808619,4.777691,2017,32,0,6,0,42954,34,0,12,0,8/9/2017,MT,TC,5.601875,16.88666667,4.78,6.16,17.76,clay,34,12,0
PS-GRE-P1,6.65,16.6,10.210441,28.59024,51.816,Green Valley Creek,8/7/2017,5,2.33172,15.3162,2.7432,9.4488,2.7432,NA,NA,1,1.2192,NA,0.099771762,BOTH,66.664406,11.519972,2017,30,0,28,0,42954,36,0,26,0,8/9/2017,MT,TC,8.944791667,17.39541667,6.65,10.7,18.78,bedrock,36,28,0
PS-DUT-P1,2.12,15.7,2.637819,19.29384,64.9224,Dutch Bill Creek,8/8/2017,5,1.47066,9.2964,0,0,0,NA,NA,1,0,NA,NA,NEITHER,28.374667,0,2017,0,0,1,0,42955,0,0,5,0,8/9/2017,AM,TC,1.766145833,16.01270833,1.15,2.29,16.48,alluvial,0,5,0
PS-DUT-P2,2.29,16.3,16.628834,25.87752,53.9496,Dutch Bill Creek,8/8/2017,5,3.2004,20.0787,0,8.6868,4.2672,NA,M,2,0.95504,NA,NA,DOWN ONLY,82.818379,8.296237,2017,0,0,5,0,42955,0,0,3,0,8/9/2017,AM,TC,0.798541667,16.52083333,0.13,2.42,17.28,alluvial,0,5,0
PS-DUT-P3,7.03,16.1,20.181804,24.44496,48.768,Dutch Bill Creek,8/8/2017,5,4.7625,17.3355,14.3256,14.9352,14.3256,NA,NA,1,1.94056,NA,0.36145534,BOTH,116.419072,28.982636,2017,56,0,8,0,42955,38,0,2,0,8/9/2017,AM,TC,7.306770833,16.731875,4.77,8.57,17.88,alluvial,56,8,0
PS-DUT-P4,8.55,16.2,48.391464,37.4904,93.2688,Dutch Bill Creek,8/8/2017,5,5.21208,24.765,9.7536,7.0104,5.7912,NA,B,2,2.41808,NA,0.313203908,BOTH,195.40288,16.9517,2017,150,0,18,3,42955,168,0,18,3,8/9/2017,AM,TC,8.568229167,16.27458333,7.53,9.89,16.66,bedrock,168,18,3
PS-MIL-P1,7.2,17.9,25.803455,41.69664,56.6928,Mill Creek,8/10/2017,5,2.83464,21.8313,7.62,3.5052,4.572,NA,B,2,1.2192,NA,0.370371468,BOTH,118.194913,4.273538,2017,0,0,48,3,42956,0,0,42,0,8/10/2017,TC,ER,7.832083333,18.73541667,6.43,10.31,20.36,alluvial,0,48,3
PS-MIL-P2,6.09,17.6,19.184856,19.2024,62.484,Mill Creek,8/10/2017,5,4.01574,24.8793,4.8768,9.50976,5.4864,NA,B,2,3.15976,NA,0.321294487,BOTH,77.111813,30.048544,2017,6,0,30,3,42956,6,0,39,0,8/10/2017,TC,ER,5.91375,18.27083333,5.7,6.14,19.32,alluvial,6,39,3
PS-MIL-P3,9.5,18.7,55.670852,33.8328,78.3336,Mill Creek,8/10/2017,5,5.23494,31.4325,13.716,3.16992,8.2296,NA,B,2,1.50876,NA,1.114256053,BOTH,177.112602,4.782646,2017,136,0,30,0,42956,164,0,32,0,8/10/2017,TC,ER,8.592916667,18.58833333,7.9,9.53,20.46,bedrock,164,32,0
PS-MIL-P4,8.95,18.2,32.696478,19.56816,95.7072,Mill Creek,8/10/2017,5,4.2291,39.5097,12.192,12.86256,6.7056,NA,B,2,3.42392,NA,0.471330825,BOTH,82.75567,44.040356,2017,86,0,14,0,42956,154,0,12,0,8/10/2017,TC,ER,8.489375,17.42375,7.72,9.04,18.44,bedrock,154,14,0
PS-GRE-P1,6.76,16.3,9.773428,28.59024,53.34,Green Valley Creek,8/21/2017,6,2.37363,14.4018,3.3528,9.4488,5.1816,NA,B,2,1.00584,NA,0.089719639,BOTH,67.862622,9.503977,2017,34,0,30,0,42968,36,0,32,0,8/23/2017,ER,TC,6.865625,16.51208333,6.39,7.39,16.8,bedrock,36,32,0
PS-GRE-P3,3.99,16.2,8.917944,14.26464,62.1792,Green Valley Creek,8/21/2017,6,2.95656,21.1455,3.6576,5.76072,4.572,NA,B,2,1.05664,NA,0.040968777,BOTH,42.174246,6.087003,2017,16,0,6,0,42968,16,0,8,0,8/23/2017,ER,TC,4.1475,16.11166667,3.41,4.89,16.34,clay,16,8,0
