Survey,Date,Tributary,Site,SiteCode,ReachName,ReachCode,UnitNumber,DissolvedOxygen,WaterTemp,RiffleCrestThalweg
Wetted Habitat,09/25/17,Austin Creek,,,AUS 5,RR-AUS-009.86:012.13,5,7.43,14.7,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 5,RR-AUS-009.86:012.13,6,8.65,14,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 5,RR-AUS-009.86:012.13,7,9.27,13.4,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,1,9.84,13.8,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,10,9.34,15.7,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,11,8.95,14.8,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,12,8.3,14.9,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,13,8.91,15.8,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,2,9.92,14.7,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,4,9.71,15,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,4,9.4,15.1,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,5,9.06,15.6,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,6,8.68,14.7,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,7,8.43,14.4,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,8,9.15,14.6,
Wetted Habitat,09/25/17,Austin Creek,,,AUS 6,RR-AUS-012.13:015.94,9,9.12,15.3,
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,1,9.33,14.2,0.54
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,2,9.06,14.3,0.38
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,3,8.75,14.3,0.32
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,4,8.75,14.6,0.13
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,5,8.68,14.8,0.26
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,6,8.8,15.2,0.45
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,7,8.33,14.9,0.45
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,8,8.1,14.8,0.34
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,9,9.11,15.1,0.36
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,10,9.19,15.5,0.48
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,11,8.99,15.5,0.3
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,12,9.7,16.3,0.32
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,13,9.78,15.7,0.49
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,14,9.62,15.7,0.32
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,15,10.06,15.7,0.41
Wetted Habitat,06/05/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,16,10.1,16.5,0.24
Wetted Habitat,06/19/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,1,7.9,15.3,0.42
Wetted Habitat,06/19/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,10,7.53,17.1,0.19
Wetted Habitat,06/19/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,11,6.48,17,0.17
Wetted Habitat,06/19/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,12,8.2,17.9,0.33
Wetted Habitat,06/19/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,13,8.58,18.5,0.5
Wetted Habitat,06/19/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,14,8.43,18.4,0.66
Wetted Habitat,06/19/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,15,8.34,18.9,0.25
Wetted Habitat,06/19/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,16,8.87,18.5,0.31
Wetted Habitat,06/19/17,Dutch Bill Creek,,,DUT 1,RR-DUT-000.00:004.81,2,7.75,15.3,0.38
