"","Crew","Site","SiteCode","DissolvedOxygen","WaterTemp","Volume","Comments","UnitLength","MaxDepth","Tributary","PoolStudyDate","SampleNumber","AvgWidth","AvgDepth","RiffleCrestThalweg","RiffleLength","PoolTailCrest","Canopy","AlgaeColor","AlgaeCover","RiffleAvgWidth","RiffleAvgDepth","Discharge_cfs","Connected","PoolArea","RiffleArea","Year","DischargeComments","TripID","HabitatID","CohoYOY_Pass1","CohoParr_Pass1","SteelheadYOY_Pass1","SteelheadParr_Pass1","Date_Pass1","CohoYOY_Pass2","CohoParr_Pass2","SteelheadYOY_Pass2","SteelheadParr_Pass2","Date_Pass2","Observers_Pass1","Observers_Pass2","Average_DO","Average_Temperature","Min_DO","Max_DO","Max_Temperature","ReachType","CohoYOY_MAX","SteelheadYOY_MAX","SteelheadParr_MAX","NA.","NA..1"
"35","LH ER  ","PS-MIL-P2","RR-MIL-000.57",8.2,17.3,20.755018,"changed pool length from 54.1",19.2024,66.1416,"Mill Creek","2017-07-13",3,4.09956,26.3652,6.7056,9.50976,8.5344,NA,"B",2,3.06832,NA,1.61744217708629,"BOTH",78.721357,29.178972,2017,NA,"PSRR-MIL-0.572017071368080","HPSRR-MIL-0.572017071368080",4,0,34,4,42928,6,0,39,0,2017-07-13,"TC","ER",7.95395833333333,18.33,7.4,8.68,20.26,"alluvial",6,39,4,NA,NA
"36","LH ER  ","PS-MIL-P3","RR-MIL-006.59",9.45,18.6,55.494932,"Staff depth is max depth AM- Changed Pool Length from 46.8",33.8328,80.4672,"Mill Creek","2017-07-13",3,5.39496,30.4038,18.288,5.76072,10.3632,NA,"B",1,1.95072,NA,2.46940182606857,"BOTH",182.526524,11.237547,2017,NA,"PSRR-MIL-6.592017071376540","HPSRR-MIL-6.592017071376540",166,0,44,0,42928,176,0,34,0,2017-07-13,"TC","ER",8.9165625,18.2908333333333,8.13,9.54,20.66,"bedrock",176,44,0,NA,NA
"37","LH ER  ","PS-MIL-P4","RR-MIL-013.39",9.11,18.5,33.197603,"AM- Changed pool length from 74.8",19.56816,89.0016,"Mill Creek","2017-07-13",3,4.23672,40.0431,14.6304,12.86256,7.3152,NA,"B",2,4.18592,NA,0.966772253450235,"BOTH",82.904779,53.841623,2017,NA,"PSRR-MIL-13.392017071381880","HPSRR-MIL-13.392017071381880",138,0,33,0,42928,150,0,16,2,2017-07-13,"TC","ER",9.0221875,17.35375,8.63,9.69,18.48,"bedrock",150,33,2,NA,NA
"38","CO ER SF ","PS-GRE-P1","RR-GRE-012.04",7.14,18.1,11.963228,"T4 reflagged right bank",28.59024,56.0832,"Green Valley Creek","2017-07-24",4,2.44602,17.1069,3.3528,9.4488,6.096,NA,"B",2,1.39192,NA,0.166720963438823,"BOTH",69.932269,13.151966,2017,NA,"PSRR-GRE-12.042017072423160","HPSRR-GRE-12.042017072423160",44,0,36,0,42940,36,0,30,0,2017-07-26,"SB","TC",7.04583333333333,17.430625,6.3,7.55,18.68,"bedrock",44,36,0,NA,NA
"39","ER CO SF ","PS-GRE-P2","RR-GRE-012.79",7.82,18.6,15.179216,NA,16.48968,61.5696,"Green Valley Creek","2017-07-24",4,4.54152,20.2692,5.7912,3.84048,3.9624,NA,"B",2,1.91008,NA,0.0806045435732849,"BOTH",74.888179,7.33562,2017,NA,"PSRR-GRE-12.792017072432160","HPSRR-GRE-12.792017072432160",30,0,70,0,42940,42,0,30,0,2017-07-26,"SB","TC",6.66270833333333,17.18125,5.38,8.26,19.42,"alluvial",42,70,0,NA,NA
"40","ER CO SF ","PS-GRE-P4","RR-GRE-014.12",5.78,16.5,14.015085,NA,22.79904,53.9496,"Green Valley Creek","2017-07-24",4,3.592286,17.112325,5.4864,3.53568,4.8768,NA,"B",2,1.24968,NA,0.0639464178521707,"BOTH",81.900628,4.418467,2017,NA,"PSRR-GRE-14.122017072414760","HPSRR-GRE-14.122017072414760",60,0,15,0,42940,48,0,12,2,2017-07-26,"ER","TC",6.90885416666667,16.95375,5.78,8.27,17.82,"clay",60,15,2,NA,NA
"41","SF CO ER ","PS-GRE-P3","RR-GRE-013.91",4.73,16.6,8.204559,"Intermittency logger came out of water and detached from stake. Subtracted 1.7 ft from pool T5, 2.3 from T6, and 1.9 from T7 to account for increased exposure of LWD in transects.",14.26464,63.7032,"Green Valley Creek","2017-07-24",4,2.82702,20.3454,3.3528,5.76072,4.2672,NA,"B",2,1.08712,NA,0.0599689762125742,"BOTH",40.326405,6.26259,2017,NA,"PSRR-GRE-13.912017072418780","HPSRR-GRE-13.912017072418780",22,0,10,0,42940,16,0,22,0,2017-07-26,"ER","TC",4.87479166666666,16.9677083333333,3.84,5.99,17.62,"clay",22,22,0,NA,NA
"42","ER CO  ","PS-DUT-P1","RR-DUT-001.96",5.27,16,21.848068,"PTC is Dry; moved the RCT intermittency logger to the true RCT , leaves stacked up on stake causing scour",38.37432,85.9536,"Dutch Bill Creek","2017-07-25",4,2.99466,19.0119,4.572,8.16864,0,NA,NA,1,0.98552,NA,0.110263359358099,"UP ONLY",114.917992,8.050354,2017,"Getting skinny","PSRR-DUT-1.962017072502780","HPSRR-DUT-1.962017072502780",0,0,2,0,42941,0,0,2,0,2017-07-26,"ER","TC",5.5615625,16.1695833333333,5,6.68,16.6,"alluvial",0,2,0,NA,NA
"43","ER CO  ","PS-DUT-P2","RR-DUT-002.79",2.66,16.6,17.763755,"Intermittency logger is still in tailout of above pool but riffle is dry and flow is subsurface",25.87752,53.9496,"Dutch Bill Creek","2017-07-25",4,3.23469,21.2217,0,10.9728,4.2672,NA,"M",2,1.05664,NA,NA,"DOWN ONLY",83.705719,11.594292,2017,NA,"PSRR-DUT-2.792017072506920","HPSRR-DUT-2.792017072506920",0,0,2,1,42941,0,0,2,0,2017-07-26,"ER","TC",1.86354166666667,16.7385416666666,1.41,2.36,17.66,"alluvial",0,2,1,NA,NA
"44","ER CO  ","PS-DUT-P3","RR-DUT-004.40",7.57,17.6,20.062079,NA,24.44496,48.768,"Dutch Bill Creek","2017-07-25",4,4.80822,17.0688,15.5448,14.9352,14.9352,NA,"B",2,1.9812,NA,0.481097985590375,"BOTH",117.536695,29.589606,2017,NA,"PSRR-DUT-4.402017072510100","HPSRR-DUT-4.402017072510100",62,0,10,0,42941,66,0,12,0,2017-07-26,"ER","TC",6.98895833333333,16.814375,5.91,7.59,17.82,"alluvial",66,12,0,NA,NA
"45","ER CO  ","PS-DUT-P4","RR-DUT-007.10",9.26,17,45.895484,NA,37.4904,95.7072,"Dutch Bill Creek","2017-07-25",4,5.05206,24.2316,9.144,7.0104,8.2296,NA,"B",2,2.91592,NA,0.0537517880156347,"BOTH",189.403669,20.441755,2017,"Poor flow site location","PSRR-DUT-7.102017072513760","HPSRR-DUT-7.102017072513760",147,0,24,3,42941,150,0,21,3,2017-07-26,"ER","TC",8.769375,16.27875,8.35,9.82,17.14,"bedrock",150,24,3,NA,NA
"46","CO ER SS ","PS-MIL-P2","RR-MIL-000.57",7.14,17.3,19.677843,NA,19.2024,64.008,"Mill Creek","2017-07-27",4,4.06908,25.1841,6.096,9.50976,6.7056,NA,NA,1,3.00736,NA,0.811428105720063,"BOTH",78.136068,28.599258,2017,NA,"PSRR-MIL-0.572017072776120","HPSRR-MIL-0.572017072776120",0,0,20,0,42942,2,0,12,0,2017-07-27,"TC","CO",6.96625,18.471875,6.53,7.46,20.34,"alluvial",2,20,0,NA,NA
"47","CO ER SS ","PS-MIL-P3","RR-MIL-006.59",9.55,19.7,54.193074,NA,33.8328,79.8576,"Mill Creek","2017-07-27",4,5.28828,30.2895,14.3256,3.16992,9.144,NA,"B",2,1.70688,NA,1.48943491645921,"BOTH",178.917243,5.410671,2017,NA,"PSRR-MIL-6.592017072788360","HPSRR-MIL-6.592017072788360",166,0,32,0,42942,188,0,46,0,2017-07-27,"TC","CO",8.88260416666667,18.635625,8.12,9.67,21.08,"bedrock",188,46,0,NA,NA
